AGI	ProbeID	Gene Symbol	Description	PLT1_FC	PLT2_FC	PLT3_FC	PLT4_FC	PLT5_FC	PLT7_FC	QC_1h_FC	QC_4h_FC	PLT1_p	PLT2_p	PLT3_p	PLT4_p	PLT5_p	PLT7_p	QC_1h_p	QC_4h_p	PLT1	PLT2	PLT3	PLT4	PLT5	PLT7	QC_1h_plt	QC_4h_plt
884	AT1G69526	AT1G69526_at	NA	NA	1.3	0.69	0.7	0.087	0.92	1.1	0.14	0.13	5.94940715787614e-05	0.012148527439603	0.0338951725790166	0.804474241386557	0.0038579053854322	0.00023163728009759	0.998342219233687	0.732117539243663	1	1	0	0	0	1	0	0
885	AT1G69530	AT1G69530_at	AT-EXP1 ATEXP1 ATEXPA1 ATHEXP EXP1 EXPA1	Member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.	-2	-0.92	-1.7	-1.3	-1.2	-2.9	-0.32	-1.1	0.00190813531662373	0.00622161191724188	0.0269950974580378	0.0372783042274822	0.0796058213633963	7.18827088062921e-05	0.998342219233687	0.00245757339901198	-1	-1	0	0	0	-1	0	-1
886	AT1G69570	AT1G69570_at	NA	NA	-1.2	NA	-0.69	-0.76	-0.6	-1	0.087	-0.059	1.47040650375461e-06	NA	0.00284612686397399	0.000307916334113806	0.00370335998979117	1.31633511231893e-05	0.998342219233687	0.805637366371381	-1	NA	0	0	0	-1	0	0
887	AT1G69580	AT1G69580_at	NA	NA	-1.3	-0.44	-0.22	-0.43	-0.74	-0.96	-0.19	-0.34	1.14744619588583e-06	0.0766701903320051	0.402990337135741	0.0328623521768707	0.00157378996357885	5.01592602979383e-05	0.998342219233687	0.244708801048516	-1	0	0	0	0	-1	0	0
888	AT1G69600	AT1G69600_at	ATHB29 ZFHD1 ZHD11	Encodes ZFHD1, a member of the zinc finger homeodomain transcriptional factor family.  Binds to the 62 bp promoter region of ERD1 (early responsive to dehydration stress 1).  Expression of ZFHD1 is induced by drought, high salinity and abscisic acid.	-0.63	-0.53	-0.64	-0.34	-0.51	-0.92	-0.27	-0.17	0.00139387931129682	0.079531614862254	0.00725724108135156	0.0765997600170786	0.0151960497823079	5.00168022163751e-05	0.998342219233687	0.698236900840187	0	0	0	0	0	-1	0	0
889	AT1G69690	AT1G69690_at	AtTCP15 TCP15	NA	-2.2	-0.83	-1.3	-1.3	-0.79	-2.1	0.16	0.066	9.69976590865859e-08	0.039451572919974	0.000367137045131372	6.12017686371532e-05	0.0057600484733608	2.51802888582797e-07	0.998342219233687	0.703212180381051	-1	0	-1	-1	0	-1	0	0
890	AT1G69760	AT1G69760_at	NA	NA	0.66	-0.086	0.00048	0.55	0.37	0.87	-0.13	-0.18	0.000288459696918409	0.624158730003598	0.998685312586959	0.00227099217252897	0.040603674082456	2.57920771515781e-05	0.998342219233687	0.474186135860713	0	0	0	0	0	1	0	0
891	AT1G69770	AT1G69770_at	CMT3	Encodes a chromomethylase involved in methylating cytosine residues at non-CG sites.  Involved in preferentially methylating transposon-related sequences, reducing their mobility. CMT3 interacts with an Arabidopsis homologue of HP1 (heterochromatin protein 1), which in turn interacts with methylated histones.  Involved in gene silencing.	0.84	0.13	0.66	0.65	0.55	0.66	0.11	0.096	8.84097095055337e-06	0.448927930579426	0.000981781475090173	0.000217988246846137	0.00186312731477733	0.000121172638854773	0.998342219233687	0.691015947963156	1	0	0	0	0	0	0	0
892	AT1G69780	AT1G69780_at	ATHB13	Encodes a homeodomain leucine zipper class I (HD-Zip I) protein.	-2.9	-0.95	-1.8	-1.7	-1.2	-2.8	-0.29	-1.4	4.66093910992689e-10	0.0110701759572969	2.56513542706666e-06	4.90075657983834e-07	5.17067717011303e-05	1.36539550852219e-09	0.998342219233687	0.0091206317303809	-1	-1	-1	-1	-1	-1	0	-1
893	AT1G69810	AT1G69810_at	ATWRKY36 WRKY36	member of WRKY Transcription Factor; Group II-b	-0.16	-0.82	-0.22	-0.23	-0.19	-0.2	-0.26	-0.76	0.298311138012751	0.0104881234310563	0.277400836177323	0.156564907503073	0.299253254049189	0.196403233714656	0.998342219233687	0.00630116549726117	0	-1	0	0	0	0	0	0
894	AT1G69850	AT1G69850_at	AIT1 ATNRT1:2 NRT1.2 NRT1:2 NTL1	Encodes an inducible component of low-affinity nitrate uptake. mRNA found primarily in root hairs and the epidermis of roots.	-0.85	-0.32	-0.21	-0.39	-0.36	-0.58	-0.059	-0.05	3.10940846700921e-05	0.0890303733871056	0.333929698753469	0.0219278245523669	0.0476630197893169	0.00123503456383034	0.998342219233687	0.886702827581374	-1	0	0	0	0	0	0	0
895	AT1G69870	AT1G69870_at	NRT1.7	Encodes a low affinity nitrate transporter NRT1.7.  Expressed in phloem.  Responsible for source-to-sink remobilization of nitrate.	-1.6	-0.69	-2	-1.9	-1.1	-2	-0.11	-0.031	8.84583366065167e-05	0.0213998525641633	0.000138299076498942	2.41303781571105e-05	0.00787913718857664	9.83369865076133e-06	0.998342219233687	0.883718316302818	-1	0	-1	-1	0	-1	0	0
896	AT1G69930	AT1G69930_at	ATGSTU11 GSTU11	Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002).	-1.3	0.19	-1.5	-0.26	-1.5	-1.5	-0.16	-0.53	0.00116008531538153	0.669011252008725	0.00315584763974839	0.565117177757683	0.00129243472275131	0.000445443652834317	0.998342219233687	0.0557167924145287	-1	0	0	0	-1	-1	0	0
897	AT1G70000	AT1G70000_at	NA	NA	0.95	0.76	1.2	1.1	0.91	0.65	0.17	0.29	7.78039449722562e-06	0.0162029557972666	1.10239212336226e-05	4.59390754645819e-06	7.17245297079976e-05	0.00037627903391157	0.998342219233687	0.109256027428203	1	1	1	1	1	0	0	0
898	AT1G70140	AT1G70140_at	ATFH8 FH8	Encodes a group I formin. Binds to F-actin barbed ends. Has severing actin filaments activity. Binds profilin. Involved in the initiation and tip growth of root hairs through regulation of actin cytoskeleton.	2.3	1.5	0.51	0.54	0.33	1.5	0.22	0.34	1.06030795380139e-09	0.0176723932156075	0.0146969103173257	0.003355300527592	0.0772280822283563	1.13191245733076e-07	0.998342219233687	0.0477619598282222	1	1	0	0	0	1	0	0
899	AT1G70170	AT1G70170_at	MMP	mutant has Late flowering; Early senescence; Matrix Metalloproteinase	-0.28	-0.97	-0.068	-0.12	-0.16	-0.12	0.023	-0.11	0.0419359699679579	0.0147323451580553	0.761982049283933	0.450963246715716	0.336217799533735	0.427879348410066	0.998342219233687	0.681402354359626	0	-1	0	0	0	0	0	0
900	AT1G70190	AT1G70190_at	NA	NA	0.85	0.22	0.54	0.43	0.41	0.65	0.11	0.051	2.6572545753422e-06	0.348238536272704	0.00207677981982882	0.00301278383770551	0.00722538831091954	5.14368747519748e-05	0.998342219233687	0.722739851284601	1	0	0	0	0	0	0	0
901	AT1G70270	AT1G70270_at	NA	NA	-0.78	-0.84	-0.61	-0.07	-0.46	-0.96	-0.0099	-0.039	8.47382316829705e-05	0.0314973349553996	0.00514171304071438	0.744573416801676	0.0156379678237069	1.32822676400507e-05	0.998342219233687	0.811351992976032	0	0	0	0	0	-1	0	0
902	AT1G70280	AT1G70280_at	NA	NA	-0.69	-0.58	-0.76	-0.6	-0.31	-1.1	-0.066	-0.095	0.00365119661040059	0.0126357694018146	0.00973601861016444	0.0140031229021507	0.243737600984691	0.000116490124796051	0.998342219233687	0.642152477502192	0	0	0	0	0	-1	0	0
903	AT1G70300	AT1G70300_at	KUP6	potassium transporter	1.4	0.091	-0.23	-0.18	-0.05	1.2	-0.1	0.077	2.24154849853753e-05	0.665012691720856	0.530155353436625	0.538843957133089	0.90417228713027	8.94180091200195e-05	0.998342219233687	0.684719298196517	1	0	0	0	0	1	0	0
904	AT1G70370	AT1G70370_at	PG2	NA	-1.5	-0.53	-0.42	-0.65	-0.52	-1.3	-0.19	-0.27	4.66992476634706e-06	0.035179794651967	0.164188590997705	0.01128132441798	0.0504818890748764	2.23472511128145e-05	0.998342219233687	0.107504746990294	-1	0	0	0	0	-1	0	0
905	AT1G70410	AT1G70410_at	ATBCA4 BCA4 CA4	Encodes a putative beta-carbonic anhydrase betaCA4.  Together with betaCA1 (At3g01500) regulates CO2-controlled stomatal movements in guard cells.	-1.1	-0.37	0.14	-0.34	0.085	-0.67	-0.14	-0.1	5.48603872967965e-07	0.0600434856648701	0.486441143153855	0.0254391173569633	0.666311521415792	9.60833319679022e-05	0.998342219233687	0.652831073580704	-1	0	0	0	0	0	0	0
906	AT1G70420	AT1G70420_at	NA	NA	2.5	1.8	2.2	2.6	2.1	2.1	0.6	0.57	2.33797129651087e-09	0.00671156118783918	2.6210211285477e-07	6.26050668694873e-09	1.15270047843237e-07	1.70562434476982e-08	0.998342219233687	0.196212213705316	1	1	1	1	1	1	0	0
907	AT1G70470	AT1G70470_at	NA	NA	0.83	0.38	1.1	0.82	0.87	1.5	0.049	0.15	1.35833415683011e-05	0.125348820106763	1.17741631991112e-05	3.4512461588795e-05	5.622048367414e-05	5.19479212429006e-08	0.998342219233687	0.306924436252167	1	0	1	1	1	1	0	0
908	AT1G70480	AT1G70480_at	NA	NA	1.5	0.52	0.33	0.5	0.47	1.1	-0.069	-0.006	6.12951108374473e-06	0.0388620432538056	0.304633638995287	0.0514337565358735	0.0898521846502528	0.000133782807470337	0.998342219233687	0.981263971475707	1	0	0	0	0	1	0	0
909	AT1G70520	AT1G70520_at	ASG6 CRK2	Encodes a cysteine-rich receptor-like protein kinase.	-0.85	-0.39	-0.55	-0.64	-0.43	-0.38	-0.094	-0.02	3.35449254865033e-07	0.0648867381073594	0.000409822761180993	1.56327876189859e-05	0.00132917007312744	0.00126205031995316	0.998342219233687	0.956070156830674	-1	0	0	0	0	0	0	0
910	AT1G70530	AT1G70530_at	CRK3	Encodes a cysteine-rich receptor-like protein kinase.	-0.97	-0.58	-1	-1.2	-0.7	-0.82	-0.29	-0.29	4.24647926306126e-07	0.0246122417972165	6.29455420413894e-06	2.25624241358257e-07	8.69706156932897e-05	3.2264235645332e-06	0.998342219233687	0.109137751533117	-1	0	-1	-1	0	-1	0	0
911	AT1G70560	AT1G70560_at	CKRC1 SAV3 TAA1 WEI8	TAA1 is involved in the shade-induced production of indole-3-pyruvate (IPA), a precursor to IAA, a biologically active auxin. It is also involved in regulating many aspects of plant growth and development from embryogenesis to flower formation and plays a role in ethylene-mediated signaling. This enzyme can catalyze the formation of IPA from L-tryptophan. Though L-Trp is expected to be the preferred substrate in vivo, TAA1 also acts as an aminotransferase using L-Phe, L-Tyr, L-Leu, L-Ala, L-Met, and L-Gln.	0.21	0.01	0.73	0.85	0.65	0.9	0.076	-0.33	0.0449829635582466	0.970351431820756	2.85614926437613e-05	8.33760450473284e-07	3.39315029638218e-05	2.0194003375839e-07	0.998342219233687	0.092883320752759	0	0	0	1	0	1	0	0
912	AT1G70710	AT1G70710_at	ATGH9B1 CEL1 GH9B1	endo-1,4-beta-glucanase. Involved in cell elongation.	2.5	1.4	1.4	1.6	1.2	2	0.5	0.62	1.16599709404356e-09	0.0027073573280157	1.07405333516695e-05	4.68771959036097e-07	2.6996839584275e-05	1.70562434476982e-08	0.18788747962147	0.0069143120398184	1	1	1	1	1	1	0	0
913	AT1G70760	AT1G70760_at	CRR23 NdhL	a subunit of the chloroplast NAD(P)H dehydrogenase complex, involved in PSI cyclic electron transport. Located on the thylakoid membrane. Mutant has impaired NAD(P)H dehydrogenase activity.	-1.1	-0.34	-0.46	-0.39	-0.29	-0.63	0.024	-0.1	0.000120442000805514	0.0820877359823559	0.13980597618266	0.139664606631519	0.321132615383841	0.0134082615989585	0.998342219233687	0.467459882381872	-1	0	0	0	0	0	0	0
914	AT1G70820	AT1G70820_at	NA	NA	1.6	0.3	0.47	0.85	0.56	2.1	0.0056	-0.097	8.00163464427921e-06	0.199184859940461	0.162287500036558	0.00382971432314457	0.0591050780629945	5.61783543505427e-07	0.998342219233687	0.617940614721513	1	0	0	0	0	1	0	0
915	AT1G70880	AT1G70880_at	NA	NA	-0.0029	-0.97	0.078	-0.19	-0.069	0.074	0.051	-0.15	0.977805651411407	0.0144275130743051	0.554300388288912	0.045835918956841	0.558730234774138	0.448339156100454	0.998342219233687	0.304746558573653	0	-1	0	0	0	0	0	0
916	AT1G70890	AT1G70890_at	MLP43	NA	-0.97	-0.56	-0.24	-0.57	-0.29	-1.3	0.055	0.023	3.29756899018899e-05	0.0299583780255837	0.325311470950043	0.00500729758741561	0.171715793837789	1.53700724506255e-06	0.998342219233687	0.895801641331423	-1	0	0	0	0	-1	0	0
917	AT1G70895	AT1G70895_at	CLE17	Member of a large family of putative ligands homologous to the Clavata3 gene.  Consists of a single exon.	0.28	0.025	0.34	0.25	0.27	0.94	0.27	0.6	0.0989482757916992	0.930149320588428	0.116150356638419	0.165202836225428	0.165592106458217	2.17663459955084e-05	0.998342219233687	0.0333738933955887	0	0	0	0	0	1	0	0
918	AT1G70940	AT1G70940_at	ATPIN3 PIN3	A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to  the plasma membrane.	0.53	0.026	-0.85	0.087	-0.34	-0.025	0.41	-0.16	0.00928843981778498	0.928646672802958	0.00194528769971678	0.736752087989881	0.141961802115029	0.923285289637864	0.998342219233687	0.551760633226567	0	0	-1	0	0	0	0	0
919	AT1G70950	AT1G70950_at	NA	NA	-0.39	-0.32	-0.66	-0.22	-0.53	-0.85	-0.23	-0.9	0.0447090192414793	0.211021446707891	0.010040479141732	0.321266303802544	0.0201271820389524	0.000252971555671437	0.998342219233687	0.0255192076828339	0	0	0	0	0	-1	0	-1
920	AT1G70985	AT1G70985_at	NA	NA	-2.7	-0.51	-2.3	-2.6	-1.5	-2.9	0.0075	0.24	2.31696062754166e-06	0.1215162156278	0.000154583109906525	6.44393365880579e-06	0.00172747440990031	1.25262719571379e-06	0.998342219233687	0.156562327437092	-1	0	-1	-1	-1	-1	0	0
921	AT1G71000	AT1G71000_at	NA	NA	0.52	1.9	0.018	-0.0049	0.011	0.089	0.33	0.51	0.0610260882238175	0.00496233723614924	0.973077823644542	0.990775066630947	0.983571100737531	0.792219878957336	0.998342219233687	0.662793670008718	0	1	0	0	0	0	0	0
922	AT1G71030	AT1G71030_at	ATMYBL2 MYBL2	Encodes a putative myb family transcription factor.  In contrast to most other myb-like proteins its myb domain consists of a single repeat.  A proline-rich region potentially involved in transactivation is found in the C-terminal part of the protein.   Its transcript accumulates mainly in leaves.	1.1	0.23	0.67	1.5	0.13	2	0.074	0.18	0.00726567456188823	0.2381815072745	0.211981092635544	0.00135557824555656	0.836229983274622	7.90967630812853e-05	0.998342219233687	0.195742367468284	0	0	0	1	0	1	0	0
923	AT1G71040	AT1G71040_at	LPR2	Encodes LPR2.  Function together with LPR1 (AT1G23010) and a P5-type ATPase (At5g23630/PDR2) in a common pathway that adjusts root meristem activity to Pi (inorganic phosphate) availability.	-0.67	-0.78	-1	-0.39	-0.56	-0.52	-0.044	0.049	0.00104401009141183	0.0151200238477092	0.00022389987014292	0.0460338704738725	0.0098808237862146	0.00768295850270439	0.998342219233687	0.817908100966088	0	-1	-1	0	0	0	0	0
924	AT1G71080	AT1G71080_at	NA	NA	0.95	0.57	0.55	0.61	0.47	0.66	0.088	0.1	4.19192188198558e-06	0.0238241407197011	0.00520453220076258	0.000646567813089038	0.00786498834345366	0.000200379784052859	0.998342219233687	0.435894569185111	1	0	0	0	0	0	0	0
925	AT1G71100	AT1G71100_at	RSW10	Encodes a ribose 5-phosphate isomerase involved in the formation of uridine used for the synthesis of UDP-sugars. Mutants of this gene are affected in cellulose biosynthesis.	0.65	0.83	-0.03	0.42	0.12	0.11	-0.065	0.093	0.00327035593168575	0.011662539097293	0.938486843725062	0.0562342595315953	0.680397501224319	0.652932316736706	0.998342219233687	0.576196123700692	0	1	0	0	0	0	0	0
926	AT1G71230	AT1G71230_at	AJH2 CSN5 CSN5B	Encodes a subunit of the COP9 complex, similar to  JAB1, a specific mammalian coactivator of AP-1 transcription. Involved in protein deneddylation. Double mutants with CSN5A are constitutively photomorphogenic (de-etiolated) and have abnormal auxin responses.	0.68	0.37	0.12	0.29	0.12	1	0.1	-0.044	0.00388436893436735	0.153043051435303	0.731126537475611	0.233824613149534	0.710631617878419	0.000166539464126941	0.998342219233687	0.853976527963615	0	0	0	0	0	1	0	0
927	AT1G71260	AT1G71260_at	ATWHY2 WHY2	Encodes WHY2, a homolog of the potato p24 protein.  It shares the conserved KGKAAL domain, a putative DNA-binding domain, with potato p24 and is localized to mitochondria and not the nucleus.  WHY2 is a member of the Whirly family proteins present mainly in the plant kingdom performing various activities related to DNA metabolism.  Crystal structure of Solanum tuberosum WHY2, a close homolog of Arabidopsis WHY2, reveal that Whirly proteins bind to single strand DNA to promote accurate repair of DNA double-strand breaks over an error-prone repair pathway.	0.86	0.28	0.57	0.62	0.5	0.56	0.12	0.41	3.20674878861924e-07	0.100375946182273	0.000323783110742366	2.34793483005845e-05	0.000393408486237551	3.69396814805916e-05	0.998342219233687	0.0502702294427633	1	0	0	0	0	0	0	0
928	AT1G71350	AT1G71350_at	NA	NA	0.97	0.24	0.45	0.66	0.37	0.58	0.086	0.41	3.244878527329e-07	0.267114494421202	0.00467590855642825	4.29253127739829e-05	0.00922560427224813	9.2803787810053e-05	0.998342219233687	0.0141800779421789	1	0	0	0	0	0	0	0
929	AT1G71410	AT1G71410_at	NA	NA	-0.82	-0.24	-0.39	-0.58	-0.41	-0.62	-0.086	-0.54	4.23464721888378e-06	0.457149849832068	0.0175912644436764	0.000252967042896973	0.00720931087692488	9.2642542840561e-05	0.998342219233687	0.0252908492763532	-1	0	0	0	0	0	0	0
930	AT1G71430	AT1G71430_at	NA	NA	1.2	0.43	0.8	0.99	0.65	0.71	0.24	0.65	4.47643617927683e-08	0.0363490902925683	6.44363877436622e-05	1.02257637695349e-06	0.000162735724065539	1.52738389728972e-05	0.998342219233687	0.0119521848924497	1	0	0	1	0	0	0	0
931	AT1G71460	AT1G71460_at	NA	NA	0.98	0.39	0.69	1.1	0.64	0.97	0.24	0.59	6.50247026788512e-08	0.156918301265194	4.97016558528411e-05	9.20236293490219e-08	4.19546189619119e-05	9.81927017053779e-08	0.998342219233687	0.00571438419766144	1	0	0	1	0	1	0	0
932	AT1G71470	AT1G71470_at	NA	NA	0.38	2.4	0.14	-0.061	-0.053	0.072	-0.15	-0.013	0.00981696015387635	0.00619640183183216	0.509316167522623	0.747043171567603	0.806038086374588	0.663737525053512	0.998342219233687	0.961682842045796	0	1	0	0	0	0	0	0
933	AT1G71695	AT1G71695_at	NA	NA	-1.2	-0.16	0.043	0.015	0.054	-1.3	0.2	-0.12	2.34120338986155e-05	0.368082609773393	0.914003845545202	0.962090580604463	0.877767561969127	7.29606997508777e-06	0.998342219233687	0.547132669212984	-1	0	0	0	0	-1	0	0
934	AT1G71697	AT1G71697_at	ATCK1 CK CK1	Encodes choline kinase.  mRNA levels are increased in response to wounding.	-1.2	NA	-0.81	-0.72	-0.57	-1.3	-0.19	0.1	9.35742865850423e-07	NA	0.00054523553544471	0.000277292944827474	0.00387079304097183	3.97392350845347e-07	0.998342219233687	0.658595449378729	-1	NA	-1	0	0	-1	0	0
935	AT1G71740	AT1G71740_at	NA	NA	-1.2	-1.6	-0.64	-0.83	-0.61	-0.94	-0.11	0.036	1.05949427939849e-05	0.00125982922379541	0.0126967921539957	0.000477685639116156	0.00886023421264702	0.00011092427600297	0.998342219233687	0.856910950957235	-1	-1	0	-1	0	-1	0	0
936	AT1G71850	AT1G71850_at	NA	NA	1.2	0.38	0.81	1.3	0.97	1.2	0.13	0.39	3.47291241886778e-06	0.0833753550296513	0.00188571933127765	5.64296003755434e-06	0.000205002676529286	3.71760343301076e-06	0.998342219233687	0.0503207772900536	1	0	1	1	1	1	0	0
937	AT1G71870	AT1G71870_at	NA	NA	1.4	0.7	0.15	0.49	0.78	1.8	0.21	0.29	0.000213924391442251	0.0146192655755127	0.778685945089046	0.16536912045461	0.0371080821767488	2.51120157102499e-05	0.998342219233687	0.167067666337388	1	1	0	0	0	1	0	0
938	AT1G71880	AT1G71880_at	ATSUC1 SUC1	Sucrose transporter gene induced in response to nematodes; member of Sucrose-proton symporter family.	-1.8	-0.51	-0.51	-0.55	-0.31	-1.3	-0.17	-0.68	3.45249016203615e-05	0.0282668264908012	0.246602076875634	0.124262344946076	0.469834684960894	0.000712870064037935	0.998342219233687	0.0476638828633045	-1	0	0	0	0	-1	0	0
939	AT1G71890	AT1G71890_at	ATSUC5 SUC5	Encodes a sucrose transporter that is expressed in the endosperm. Mutants have delayed accumulation of fatty acids and embryo maturation.	-0.6	-1.2	-0.31	-0.29	-0.14	-0.57	-0.018	-0.034	0.00541748381809729	0.00351403345934488	0.255830458140624	0.205220402966629	0.627029460617053	0.0092414525879183	0.998342219233687	0.827606582771371	0	-1	0	0	0	0	0	0
940	AT1G71960	AT1G71960_at	ABCG25 ATABCG25	Encodes a plasma membrane localized ABC transporter involved in abscisic acid transport and responses.	-0.75	-0.63	0.91	-0.11	0.57	-0.33	-0.072	-0.0014	0.000344498960212231	0.0229145768884686	0.00062946277291447	0.608133077082275	0.00878859886036644	0.0788944122318326	0.998342219233687	0.995538871714018	0	0	1	0	0	0	0	0
941	AT1G71970	AT1G71970_at	NA	NA	-0.78	-0.4	-0.68	-1	-0.56	-0.77	0.14	-0.073	4.09722130788696e-06	0.0914243812731446	0.000227368364392959	5.69544989426382e-07	0.000485587856964018	5.53355702958134e-06	0.998342219233687	0.773293178392787	0	0	0	-1	0	0	0	0
942	AT1G72030	AT1G72030_at	NA	NA	-0.96	-0.67	-0.32	-0.35	-0.3	-0.73	-0.19	-0.26	0.000265160060598632	0.00752039890764873	0.297923808174196	0.144690563835386	0.261457204020389	0.00293904295228715	0.998342219233687	0.138032307161125	-1	-1	0	0	0	0	0	0
943	AT1G72040	AT1G72040_at	AtdNK dNK	NA	0.92	0.21	0.73	0.96	0.67	0.75	0.13	0.85	7.43016274271653e-06	0.237791744365154	0.000789747651972055	1.11793343887438e-05	0.000730396195240505	7.97668316366229e-05	0.998342219233687	0.00192692642269148	1	0	0	1	0	0	0	1
944	AT1G72070	AT1G72070_at	NA	NA	0.64	0.05	0.42	0.5	0.87	0.75	-0.17	0.31	4.22434247067057e-05	0.862861294442822	0.0100405025687429	0.000705474974497946	1.37960988293522e-05	9.56021984325379e-06	0.998342219233687	0.349586519964601	0	0	0	0	1	0	0	0
945	AT1G72090	AT1G72090_at	NA	NA	0.83	0.39	0.58	0.7	0.38	0.49	0.22	0.49	1.33029485494969e-06	0.0399372167863933	0.00054955959442073	1.62143529482849e-05	0.00644534076221126	0.000293980263467936	0.998342219233687	0.0141800779421789	1	0	0	0	0	0	0	0
946	AT1G72140	AT1G72140_at	NA	NA	-1.5	-1.2	-1.3	-1.1	-0.7	-1.5	-0.22	0.13	5.23147754207515e-08	0.0260080367773871	1.01437615581878e-05	3.51316734840698e-06	0.000643005350013891	8.22109814023297e-08	0.998342219233687	0.786592344435645	-1	0	-1	-1	0	-1	0	0
947	AT1G72150	AT1G72150_at	PATL1	novel cell-plate-associated protein that is related in sequence to proteins involved in membrane trafficking in other eukaryotes	-1.9	-0.86	-1.5	-1.5	-0.88	-1.6	-0.11	-0.76	5.23715953967323e-08	0.00692109706175783	1.17741631991112e-05	1.0340615577336e-06	0.000493844947739095	2.69332288115419e-07	0.998342219233687	0.0522296495323246	-1	-1	-1	-1	-1	-1	0	0
948	AT1G72180	AT1G72180_at	NA	NA	-0.37	-0.14	-0.9	-0.97	-0.6	-0.69	0.54	0.92	0.0662336002647276	0.562586818988455	0.00151850142362366	0.000160746884098584	0.0115525190417949	0.00213092036877459	0.360740362738766	0.00404138496446204	0	0	-1	-1	0	0	0	1
949	AT1G72200	AT1G72200_at	NA	NA	-1.3	-1.4	-1	-1.1	-0.52	-1.1	-0.064	-0.29	8.1295043795098e-07	0.00570774618533742	0.000215821188957356	1.48281048775334e-05	0.0123754501911641	1.01473084221609e-05	0.998342219233687	0.134552923736526	-1	-1	-1	-1	0	-1	0	0
950	AT1G72230	AT1G72230_at	NA	NA	-1.6	-0.44	-0.69	-0.87	-0.72	-1.3	-0.031	-0.55	6.17159753999786e-06	0.100975114378807	0.0383335831485516	0.00338056134522513	0.0176611442926055	9.24440348237517e-05	0.998342219233687	0.00528952607235137	-1	0	0	0	0	-1	0	0
951	AT1G72300	AT1G72300_at	PSY1R	Encodes a leucine-rich repeat receptor kinase (LRR-RK) involved in the perception of PSY1.  PSY1 is an 18-aa tyrosine-sulfated glycopeptide encoded by AT5G58650 that promotes cellular proliferation and expansion.	-1.6	-0.58	-1.2	-1.4	-0.74	-1.8	-0.024	-0.52	4.00718535201639e-08	0.0265556246308087	2.92667767359568e-05	9.09052696844716e-07	0.000593732395996624	3.11175949802936e-08	0.998342219233687	0.0990006936124752	-1	0	-1	-1	0	-1	0	0
952	AT1G72350	AT1G72350_at	NA	NA	-0.075	0.64	0.049	-0.011	-0.015	-0.028	-0.041	-0.13	0.498658499843402	0.0166731823928372	0.784117422850223	0.944682004085841	0.935767577948524	0.835770626094362	0.998342219233687	0.400148513881021	0	1	0	0	0	0	0	0
953	AT1G72420	AT1G72420_at	NA	NA	1	0.55	0.71	0.88	0.69	0.99	-0.029	0.19	5.50803516956862e-06	0.0411996615995019	0.00174858975035	5.10744824627206e-05	0.000948920098403258	1.00021251615282e-05	0.998342219233687	0.329661119498965	1	0	0	1	0	1	0	0
954	AT1G72430	AT1G72430_at	NA	NA	-2.2	-0.48	-0.52	-1.2	-0.53	-1.4	0.086	-0.14	1.14642935336642e-06	0.0294018239432187	0.201557845296137	0.00137064609069136	0.141549208088441	0.000204326747251984	0.998342219233687	0.50698172647961	-1	0	0	-1	0	-1	0	0
955	AT1G72440	AT1G72440_at	EDA25 SWA2	Encodes SLOW WALKER2 (SWA2), a NOC1/Mak21 homologue.  Essential for coordinated cell cycle progression during female gametophyte development.	0.77	0.34	0.66	0.93	0.64	0.85	0.024	0.53	5.19908585076933e-05	0.108375866416314	0.00177822607695244	1.50837911308116e-05	0.00101210152481606	2.34307069852389e-05	0.998342219233687	0.00946466233354353	0	0	0	1	0	1	0	0
956	AT1G72450	AT1G72450_at	JAZ6 TIFY11B	JAZ6 transcript levels rise in response to a jasmonate stimulus and a GFP:JAZ6 fusion protein localizes to the nucleus.  Application of jasmonate methyl ester to Arabidopsis roots reduces the levels of a JAZ6:GUS fusion protein, presumably by stimulating ubiquitin-proteasome-mediated degradation.	-2	-0.79	-1.1	-0.96	-0.82	-1.5	-0.027	0.2	3.58846357039496e-06	0.019222366718695	0.00606052182129211	0.00495790721586407	0.0206173848457534	7.50399611430067e-05	0.998342219233687	0.549147962706773	-1	-1	0	0	0	-1	0	0
957	AT1G72490	AT1G72490_at	NA	NA	2.6	2.4	0.63	1.5	0.67	2.3	0.077	-0.3	1.05088389392609e-07	0.00064245574336751	0.0887861505776328	7.55566684089147e-05	0.0438339265271437	4.49790174643619e-07	0.998342219233687	0.504118383395341	1	1	0	1	0	1	0	0
958	AT1G72500	AT1G72500_at	NA	NA	-1.6	-0.83	-0.98	-1.2	-0.76	-1.6	-0.089	0.33	3.9185885235698e-07	0.00795831197993645	0.00064812463783098	1.79769236858608e-05	0.00192741728892053	4.33320402658272e-07	0.998342219233687	0.459989152237823	-1	-1	-1	-1	0	-1	0	0
